ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_EditedObjects8_Count,Children_RelateObjects9_Count,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_EditedObjects8,Parent_IdentifyPrimaryObjects7
1,1,1447,3003,281,166,204,127,241.7629578438148,146.88804422944023,2.03297120843343,0.9691497036355604,42.92292652221864,1,0.48185148185148186,0.49189088160799954,89.3854633557054,79.71198153351854,11.0,4.7511940215039505,4.47213595499958,22.135943621178654,22.03108739152619,-1.2329202154666465,192.2670273047588,0.8910098522167488,1,1,241.7629578438148,146.88804422944023,1,1,2
2,1,1606,3780,304,155,214,113,259.3804483188045,135.41469489414695,2.4146550828471702,0.9799046898077026,45.21971593060566,1,0.4248677248677249,0.41413782328732396,106.53461375892327,93.637599285757,9.848857801796104,4.523422970534121,4.242640687119285,21.245017515426277,21.250063641396434,-1.2323634511117334,220.75230867899737,0.8479408658922915,1,1,259.3804483188045,135.41469489414695,1,1,1
3,1,1036,2065,338,133,279,98,308.9469111969112,114.1476833976834,1.7735799087841169,0.9542185784186838,36.319088209172165,1,0.5016949152542373,0.5638313757656136,67.13918384873561,62.177166226839255,9.486832980505138,4.414971831229355,4.123105625617661,19.16096054570013,20.08201390711586,-1.151685303682581,151.95331880577402,0.946983546617916,1,1,308.9469111969112,114.1476833976834,1,1,1
3,2,1034,1560,282,149,222,123,251.147001934236,136.04352030947774,1.6346614287339545,0.9442058006581836,36.2840142384516,1,0.6628205128205128,0.6117474740775527,63.89050041341597,59.841457201508724,10.0,4.598376542574548,4.123105625617661,20.28874777601513,21.042722686885714,-1.349076309526229,145.74011537017762,0.9512419503219871,1,1,251.147001934236,136.04352030947774,2,2,2
4,1,1799,3074,408,98,302,69,354.47859922178986,81.00277932184547,2.661592415011471,0.9830120219883995,47.85977372469032,1,0.5852309694209499,0.3757149270338938,117.43816048587821,105.38500842150178,9.055385138137417,4.526783252000168,4.123105625617661,22.543400764587116,21.55473851117288,-1.471704081775569,245.29646455628165,0.8263665594855305,1,1,354.47859922178986,81.00277932184547,1,1,1
4,2,1621,2756,407,113,301,87,352.73781616286243,97.78840222085132,2.8844398924813235,0.9873633822386302,45.430400636750925,1,0.5881712626995645,0.34668775820450726,119.18327286372562,106.06601717798213,8.54400374531753,4.126114292608005,4.0,19.454067719971633,18.887278037004364,-1.4523130060647718,242.39696961967002,0.8513655462184874,1,1,352.73781616286243,97.78840222085132,2,2,4
4,3,1037,1701,306,115,243,88,273.1398264223722,101.36644165863066,1.8571840506889108,0.9569734058886397,36.33661249883324,1,0.6096413874191652,0.5384495950355896,68.03407825599659,63.56099432828282,9.219544457292887,4.360640287546202,4.0,18.238800567851115,19.741832008952006,-1.3579927169317476,155.5685424949238,0.9435850773430391,1,1,273.1398264223722,101.36644165863066,3,3,6
4,4,764,893,244,117,197,98,220.93848167539267,107.10732984293193,1.4345063745260518,0.9102191738687947,31.18902069924069,1,0.8555431131019037,0.6971039081861111,48.6685911233808,46.52956049652737,10.0,4.43000218184988,4.0,18.0,20.154970784246505,-1.5486242359339082,117.35533905932738,0.9707750952986023,1,1,220.93848167539267,107.10732984293193,4,4,8
4,5,1742,3248,305,133,193,104,247.95292766934557,120.58036739380023,3.0632676754281083,0.9873797877261239,47.09546991939515,1,0.5363300492610837,0.32644878148307577,125.63702363966189,111.5437134042076,9.0,4.156887605811854,4.0,22.95997601161732,19.89717426245975,-1.4659371932034215,258.9533188057741,0.7505385609651013,1,1,247.95292766934557,120.58036739380023,5,5,12
5,1,1155,2560,207,88,143,48,175.58095238095237,68.4008658008658,1.8968192544829328,0.9642533523853424,38.34829427978659,1,0.451171875,0.5271983599051966,75.60168667577443,69.35416353759881,9.848857801796104,4.414435750188964,4.123105625617661,19.057696013717074,20.033087863358514,-1.0924257799926904,165.92388155425118,0.9307010475423045,1,1,175.58095238095237,68.4008658008658,1,1,1
5,2,2845,5376,410,96,242,64,323.1599297012302,77.44182776801406,3.8762966673942,0.9933111701012711,60.18609893298899,1,0.5292038690476191,0.2579781904753538,187.28720881001536,167.7647161950331,9.486832980505138,4.589262083527856,4.47213595499958,23.396417215479666,21.62572835236991,-1.474968916168214,372.2670273047588,0.810772299800513,1,1,323.1599297012302,77.44182776801406,2,2,2
5,3,770,832,394,97,342,81,367.37792207792205,88.55064935064935,1.6879293045004302,0.9520183943152482,31.311251163856024,1,0.9254807692307693,0.5924418737999019,57.49133594132887,51.478150704935004,8.0,3.964287588712934,4.0,15.0,17.59469497249892,1.56418047104712,127.79898987322333,0.9685534591194969,1,1,367.37792207792205,88.55064935064935,3,3,6
5,4,766,893,439,98,392,79,415.2167101827676,88.72323759791122,1.5290608705046245,0.9171320703208997,31.229817342839755,1,0.8577827547592385,0.6539962007333151,49.973181228035834,47.07440918375928,10.0,4.3225715220845355,4.0,18.0,19.91848291708993,-1.5349573623416741,121.31980515339463,0.9433497536945813,1,1,415.2167101827676,88.72323759791122,4,4,7
5,5,1632,2987,263,110,160,81,211.12132352941177,97.03553921568627,2.772875283369378,0.985135476304279,45.58428388170407,1,0.5463675929025779,0.36063648660926406,113.21012858825834,103.75451797391764,9.0,4.253970294547428,4.0,20.07724283019964,19.447145246349546,1.423720884524199,238.4680374315355,0.864406779661017,1,1,211.12132352941177,97.03553921568627,5,5,12
5,6,1167,2080,342,109,262,83,301.44558697515,95.23307626392459,2.5376771161511282,0.9827320743110032,38.54699143520717,1,0.5610576923076923,0.3940611646909166,91.12636351157111,82.28000972289685,8.0,3.8431052925129636,4.0,15.69860849645064,16.861497452774884,-1.4008820924255878,192.9116882454314,0.9160125588697017,1,1,301.44558697515,95.23307626392459,6,6,9
5,7,1151,1925,340,123,263,98,301.92875760208517,110.41442224152911,2.287894641352157,0.9778555783080589,38.28183271462029,1,0.597922077922078,0.43708306402125013,85.33782104534635,76.4198926981712,8.06225774829855,4.016987160822616,4.0,16.61735968527509,17.859570460439034,-1.4207091846581694,181.91168824543144,0.9200639488409272,1,1,301.92875760208517,110.41442224152911,7,7,13
5,8,608,1104,208,121,162,97,184.23848684210526,108.0345394736842,1.7994843294848466,0.9450530165594981,27.823185353208192,1,0.5507246376811594,0.5557147587310629,49.63672918585402,46.09772228646444,7.615773105863909,3.4945618939769068,3.1622776601683795,15.32,16.227095985527992,1.293100803704338,117.25483399593904,0.9212121212121213,1,1,184.23848684210526,108.0345394736842,8,8,14
5,9,958,1216,265,126,201,107,233.87160751565762,116.70772442588726,1.9430017448009091,0.9620480902240215,34.92511251028815,1,0.787828947368421,0.5146675769467544,68.09768157754523,63.198101237299845,9.0,4.105808434221491,4.0,17.75621490177409,18.58249256591828,1.5690489283577485,152.9411254969543,0.8961646398503275,1,1,233.87160751565762,116.70772442588726,9,9,16
6,1,887,1568,237,69,181,41,209.52874859075536,53.40135287485908,1.7089910983014243,0.9439552145769542,33.60600357347016,1,0.5656887755102041,0.5851405551461945,59.24617108817919,55.90169943749474,8.94427190999916,4.228567201885324,4.0,17.909543878671276,19.55559441555673,-1.2811893929319769,138.01828996322962,0.9506966773847803,1,1,209.52874859075536,53.40135287485908,1,1,8
6,2,806,1815,190,88,135,55,160.64888337468983,71.15632754342431,1.9615785603953735,0.9572576570277033,32.03484154879717,1,0.4440771349862259,0.5097935000872161,60.94461329987445,56.32051136131489,8.06225774829855,3.7982475502627646,3.605551275463989,17.374903792410226,17.627409292218257,-1.131297040274581,140.95331880577402,0.8945615982241953,1,1,160.64888337468983,71.15632754342431,2,2,11
6,3,1943,3567,476,89,353,60,412.27380339680906,72.33710756562017,3.0721690709973895,0.9893908758016741,49.7383597982525,1,0.5447154471544715,0.32550291891173383,135.3159075018909,122.9186723000212,9.0,4.329827516918709,4.0,20.676357145402893,19.658423290668562,1.447224866995008,273.88225099390854,0.8559471365638767,1,1,412.27380339680906,72.33710756562017,3,3,17
6,4,1581,2660,354,92,259,64,305.4623655913978,76.955091714105,2.461779526921684,0.9824875695598903,44.866376276965944,1,0.5943609022556391,0.40621021869104723,105.39183275798005,96.317184344228,9.219544457292887,4.446987090734233,4.123105625617661,19.39908050203216,19.637464141959992,-1.4103064165246855,221.1543289325507,0.9080987937966686,1,1,305.4623655913978,76.955091714105,4,4,18
6,5,1091,1800,260,95,188,70,225.87351054078826,82.1897341888176,2.130634296937138,0.9697880870930042,37.2706901372387,1,0.6061111111111112,0.4693438012508928,77.76461882874489,72.18032973047436,9.055385138137417,4.12835515097702,4.0,19.303656811224336,18.970593273399768,1.4317083167289533,170.91168824543144,0.8964667214461791,1,1,225.87351054078826,82.1897341888176,5,5,19
6,6,596,731,414,94,371,77,391.8540268456376,84.52013422818791,1.529851611674514,0.9285162939984151,27.547246117573295,1,0.8153214774281806,0.6536581668240623,45.613705450483096,42.42640687119285,8.0,3.7685174815339897,3.605551275463989,15.504855771215283,16.93598810795727,1.4829400848922278,107.04163056034261,0.952076677316294,1,1,391.8540268456376,84.52013422818791,6,6,20
6,7,456,612,372,94,338,76,354.91008771929825,84.32675438596492,1.4148552001968728,0.8830791450442232,24.095585330081406,1,0.7450980392156863,0.7067861077662597,35.634448769681455,33.734255586866,8.0,3.524074395852584,3.0,15.889975754536845,16.72054092142039,-1.4490296386582422,90.04163056034261,0.9402061855670103,1,1,354.91008771929825,84.32675438596492,7,7,21
6,8,582,840,342,101,300,81,320.32474226804123,90.5979381443299,1.568733141339418,0.9227128233257063,27.221781995965376,1,0.6928571428571428,0.6374570496714174,44.35939077350626,41.19465984809196,8.06225774829855,3.7093424924479828,3.605551275463989,16.37824956530854,17.100015565002376,-1.397423452574163,107.11269837220809,0.9326923076923077,1,1,320.32474226804123,90.5979381443299,8,8,23
6,9,575,912,458,99,410,80,433.0,89.27304347826087,1.8748224371974822,0.9500276814261887,27.05758189903005,1,0.6304824561403509,0.5333838448695001,49.28888528786495,47.095647357266465,7.0,3.411729963644913,3.0,13.891890273991347,15.386297820290032,1.4668493468946828,116.39087296526012,0.905511811023622,1,1,433.0,89.27304347826087,9,9,24
6,10,2685,9519,239,143,72,86,146.8707635009311,104.868156424581,4.706369103907218,0.9821268235364323,58.469207088979,1,0.28206744405924994,0.2124780224249309,194.0970020235365,171.4788616710526,8.54400374531753,4.078723239982243,4.0,40.02914881512203,36.533006859347545,-1.368336157643267,398.49242404917493,0.5336911150864639,1,1,146.8707635009311,104.868156424581,10,10,26
6,11,946,2280,488,121,428,83,457.4260042283298,100.82346723044398,2.0387856521176504,0.9713410757804415,34.70568554746418,1,0.4149122807017544,0.49048805055171824,72.35094323103665,66.18912297349165,8.06225774829855,3.838610189145522,3.605551275463989,18.015793275330665,17.197092409408693,-1.0738345484298228,155.6812408671319,0.8983855650522318,1,1,457.4260042283298,100.82346723044398,11,11,27
6,12,928,1344,301,110,237,89,267.89008620689657,98.1896551724138,2.0385410411500833,0.9706613734426484,34.37391885593249,1,0.6904761904761905,0.4905469057595378,71.26889963414246,64.13267497929586,8.54400374531753,3.8557630639246123,4.0,17.552318724813816,17.136650725551423,-1.4494354766235633,154.18376618407356,0.9124877089478859,1,1,267.89008620689657,98.1896551724138,12,12,28
6,13,974,1541,386,112,319,89,352.26694045174537,100.16529774127311,2.035488897173769,0.972056743282702,35.21555503711461,1,0.6320571057754705,0.49128246358330807,73.5343975402612,66.91038783328041,8.246211251235321,3.9264383952364716,4.0,16.46463417446576,17.261906205394123,-1.4251955876459235,157.84062043356596,0.9276190476190476,1,1,352.26694045174537,100.16529774127311,13,13,29
6,14,1593,2323,258,125,157,102,208.0495919648462,112.83992467043315,2.604262296549811,0.9857084474254144,45.03632528041241,1,0.6857511838140335,0.3839858993177546,111.67375800858588,100.84145972763385,9.0,4.295118408673009,4.0,18.809221196808146,18.812589472351956,1.4880889294677817,228.3259018078045,0.9015280135823429,1,1,208.0495919648462,112.83992467043315,14,14,40
6,15,917,1430,321,121,256,99,288.10359869138495,110.05888767720829,2.027208340046272,0.9697730699118274,34.16958680642984,1,0.6412587412587413,0.4932892097203855,70.14429443372651,64.03124237432849,8.06225774829855,3.8697156336115377,4.0,16.636345752598434,17.115810507803953,-1.421966018533412,152.84062043356596,0.9061264822134387,1,1,288.10359869138495,110.05888767720829,15,15,34
6,16,1052,3080,155,146,85,102,120.26330798479087,122.05418250950571,2.528353806804571,0.9800269877953027,36.59846992787254,1,0.34155844155844156,0.3955142659657423,83.93228983954145,79.75587752636166,7.615773105863909,3.68131509647315,3.605551275463989,16.821915987510604,16.69115577187606,-1.0651687835602976,182.82337649086284,0.896845694799659,1,1,120.26330798479087,122.05418250950571,16,16,42
7,1,2639,6308,431,90,265,52,345.5824175824176,69.93596059113301,4.161234198563546,0.994319571156215,57.96618978815232,1,0.4183576410906785,0.24031331866521694,188.6797825807121,166.4602054546371,10.0,4.294733026441554,4.0,22.152893080641658,20.08229325882341,-1.397420967320792,371.4802307403552,0.7750367107195301,1,1,345.5824175824176,69.93596059113301,1,1,25
7,2,1419,2576,264,85,172,57,218.21212121212122,70.43974630021141,2.511895956945107,0.9833744750190603,42.505610382385946,1,0.5508540372670807,0.39810566087942995,101.22321877468374,92.76313923105448,8.94427190999916,4.183878479767827,4.0,18.04268443271293,18.381044523979735,-1.3901437248451487,211.63961030678928,0.8981012658227848,1,1,218.21212121212122,70.43974630021141,2,2,21
7,3,1469,4320,176,117,96,63,136.37644656228727,90.5282505105514,2.4728982786607347,0.9796883412653015,43.247992915463186,1,0.3400462962962963,0.4043837988118044,99.22073754291428,92.11405973031478,9.433981132056603,4.299679956192686,4.123105625617661,21.078607456558707,19.896356743809534,-1.0041166668945614,213.6579002700189,0.8682033096926713,1,1,136.37644656228727,90.5282505105514,3,3,32
7,4,780,1080,438,88,384,68,411.23205128205126,75.96153846153847,1.7760529203187068,0.9518731437375085,31.513915099419602,1,0.7222222222222222,0.563046285704456,58.00574823179639,53.23532661682466,8.54400374531753,3.8937383288078693,4.0,17.35583299283862,17.778314078980703,1.4825442033638256,131.94112549695427,0.9263657957244655,1,1,411.23205128205126,75.96153846153847,4,4,27
7,5,881,1742,380,98,313,72,346.4642451759364,84.03745743473326,2.2182546846225386,0.9711179709361922,33.49214891450948,1,0.5057405281285878,0.4508048633604763,69.55039989064657,66.91038783328041,8.54400374531753,3.7087626716526465,3.605551275463989,16.99372332335517,16.59471470512145,-1.3383405534157995,156.71067811865476,0.9129533678756476,1,1,346.4642451759364,84.03745743473326,5,5,29
7,6,717,900,484,91,434,73,458.302649930265,81.91352859135286,1.6755720395973062,0.9429452076194564,30.2144461073691,1,0.7966666666666666,0.596811104725961,52.96919423613074,49.49747468305833,8.246211251235321,3.9046654755823726,4.0,16.1153627955683,17.635984476435524,1.4766149942373215,122.87005768508881,0.9484126984126984,1,1,458.302649930265,81.91352859135286,6,6,30
7,7,1516,3636,584,112,483,76,532.0587071240105,92.36213720316623,3.018027348512393,0.9889079928832948,43.934395976484154,1,0.41694169416941695,0.33134225920547306,117.08034954394222,103.58088626768937,8.54400374531753,3.9283509711571503,4.0,17.600870325332636,17.389873654599427,1.351342860915994,239.78174593052023,0.8459821428571429,1,1,532.0587071240105,92.36213720316623,7,7,47
7,8,1021,1349,270,98,199,79,233.63467189030362,88.41821743388834,2.1436122073729096,0.9730948383341174,36.05520177692258,1,0.7568569310600445,0.4665022883152656,76.1486153143584,70.178344238091,8.246211251235321,3.97996775107344,4.0,16.679741506452977,17.545017015526522,1.5332704672303425,165.84062043356596,0.9281818181818182,1,1,233.63467189030362,88.41821743388834,8,8,34
7,9,661,918,430,99,379,81,404.2163388804841,89.89409984871406,1.7659078494348277,0.958632026467146,29.010538413996088,1,0.7200435729847494,0.5662809643889665,54.84929499514018,50.08991914547278,7.615773105863909,3.5937412179154413,3.1622776601683795,14.452993773048652,15.612756952041533,1.4675019419285864,121.1126983722081,0.9362606232294618,1,1,404.2163388804841,89.89409984871406,9,9,41
7,10,986,1664,201,107,137,81,168.7474645030426,93.72718052738337,1.948939294186532,0.9555626472665504,35.43182455235505,1,0.5925480769230769,0.5130996142275381,66.84490157537728,64.5600495662759,9.848857801796104,4.154562769083507,4.0,20.396078054371138,19.70508189826812,-1.366774419500602,155.39696961967002,0.9206349206349206,1,1,168.7474645030426,93.72718052738337,10,10,42
7,11,474,666,465,105,428,87,445.8966244725738,95.49367088607595,1.594511182470188,0.9062631000364393,24.566553364370574,1,0.7117117117117117,0.6271514499201053,38.49267568386534,36.49657518178932,7.615773105863909,3.446129895297037,3.0,14.42497833620557,16.271395992181393,1.3980621671447224,97.4558441227157,0.920388349514563,1,1,445.8966244725738,95.49367088607595,11,11,43
7,12,551,702,501,107,462,89,480.49364791288565,98.26134301270417,1.5530425642761725,0.9119626704972149,26.486883341553696,1,0.7849002849002849,0.6438973554250721,42.04880327849828,38.8329756778952,8.06225774829855,3.662455193777563,3.1622776601683795,17.0,17.251496512590464,1.5302321380134334,103.698484809835,0.9137645107794361,1,1,480.49364791288565,98.26134301270417,12,12,44
7,13,992,1518,334,111,268,88,300.1875,98.15927419354838,2.059402213075152,0.9643397349512159,35.539465786323824,1,0.6534914361001317,0.4855778019713664,70.42732410479815,65.37583651472461,9.055385138137417,4.036266064806466,4.0,20.539687826025606,18.63982247707148,1.4593166252317422,160.22539674441617,0.8732394366197183,1,1,300.1875,98.15927419354838,13,13,45
7,14,3469,17596,233,178,21,95,121.78754684347074,126.20380513116172,5.864482754537388,0.9925018167076622,66.45952136967493,1,0.197147078881564,0.1705180221096726,246.79369216439906,222.62524564837653,9.486832980505138,4.1432564763322395,4.0,35.35099103008136,30.16556364773773,-1.2384201460425288,505.61731573020285,0.5812667560321716,1,1,121.78754684347074,126.20380513116172,14,14,55
7,15,712,1080,414,112,360,92,386.97331460674155,101.48455056179775,1.9284376501322358,0.9649112915488216,30.10891156869401,1,0.6592592592592592,0.5185544888793415,59.563446354601176,54.817880294662984,7.280109889280518,3.547422868587192,3.1622776601683795,14.42497833620557,15.639936442614385,1.3905752118422323,131.35533905932738,0.9380764163372859,1,1,386.97331460674155,101.48455056179775,15,15,49
7,16,523,615,272,112,231,97,251.4282982791587,103.56405353728489,1.5918647196950229,0.9311025120238174,25.805121233904135,1,0.8504065040650407,0.6281940843513291,43.35586126245398,40.11234224026316,8.0,3.4823467683349962,3.0,14.0,15.814380217695206,1.51109519834632,102.2842712474619,0.9596330275229358,1,1,251.4282982791587,103.56405353728489,16,16,50
7,17,452,665,535,114,500,95,516.8473451327434,103.38938053097345,1.6111621395636386,0.9202863083621723,23.98967015655475,1,0.6796992481203008,0.6206699967955034,39.07879415306847,36.235341863986875,7.0,3.293663296135316,3.0,13.532013324534699,15.289405822301267,1.3688766414245634,95.66295090390226,0.9262295081967213,1,1,516.8473451327434,103.38938053097345,17,17,51
7,18,806,1239,470,119,411,98,439.67245657568236,108.5545905707196,1.9795624554395281,0.9641961826128683,32.03484154879717,1,0.6505246166263116,0.5051621368409753,63.451664884423685,59.033888572581766,8.06225774829855,3.716769381433922,3.605551275463989,16.47375535160746,16.82674525623528,1.4119117800398755,141.59797974644667,0.8985507246376812,1,1,439.67245657568236,108.5545905707196,18,18,52
7,19,517,741,572,120,533,101,551.1876208897486,110.45261121856866,1.6234079379866384,0.9301489613183258,25.65667251667837,1,0.6977058029689609,0.615988117712549,43.0880564140881,39.56008088970496,8.0,3.4479505106856987,3.0,15.12470683209287,15.821175665559092,1.3703323082901187,102.69848480983501,0.9265232974910395,1,1,551.1876208897486,110.45261121856866,19,19,53
7,20,713,990,324,122,269,104,295.1430575035063,112.54698457223002,1.8486192620589263,0.9622458224394423,30.130048048354833,1,0.7202020202020202,0.5409442715025243,58.35770669047226,54.037024344425184,7.615773105863909,3.630538546402154,3.605551275463989,14.410982079455307,15.883910469318948,1.4655211355899773,128.69848480983498,0.9418758256274768,1,1,295.1430575035063,112.54698457223002,20,20,54
7,21,948,1470,539,127,469,106,503.71940928270044,115.38080168776371,2.2099227232506644,0.9762441904365355,34.74235294865525,1,0.6448979591836734,0.45250451044236506,75.22331636042162,70.09279563550022,8.06225774829855,3.7470008042950713,3.605551275463989,16.070215734109834,16.2988775454204,1.416102712836716,162.25483399593904,0.9330708661417323,1,1,503.71940928270044,115.38080168776371,21,21,56
7,22,568,779,221,128,180,109,200.17253521126761,117.82922535211267,1.4966065180064554,0.9154556593542138,26.89237924411993,1,0.7291399229781772,0.6681783006879077,42.80740129436489,40.311288741492746,8.0,3.733403478584779,3.605551275463989,16.1245154965971,17.226505462104118,-1.3915094718637158,103.35533905932738,0.9435215946843853,1,1,200.17253521126761,117.82922535211267,22,22,57
7,23,791,1080,270,127,216,107,242.53982300884957,117.4614412136536,1.8497800475462394,0.9464357663798049,31.735350634355903,1,0.7324074074074074,0.5406048147867715,57.227112428354765,53.46026561849464,8.94427190999916,3.9212159519870573,4.0,17.654470478291113,18.47818533354714,1.505658092329952,135.59797974644667,0.8927765237020316,1,1,242.53982300884957,117.4614412136536,23,23,58
7,24,747,1638,356,133,317,91,335.61044176706827,110.81124497991968,1.6541562587001717,0.9453824010285665,30.8400703617415,1,0.45604395604395603,0.6045378087713402,54.766880069960386,50.99019513592785,8.54400374531753,3.899247723056636,3.605551275463989,17.685552325611628,17.851996560440117,-0.7284068175877901,124.61017305526642,0.9256505576208178,1,1,335.61044176706827,110.81124497991968,24,24,61
7,25,475,629,575,134,538,117,556.0589473684211,124.76842105263158,1.4632194162827592,0.9297585562581989,24.592453796829673,1,0.7551669316375199,0.6834245013919057,40.920213439272054,37.64306044943742,7.0,3.413252131020659,3.0,13.717871555019022,15.065588211248192,1.4089162631601995,93.45584412271572,0.9519038076152304,1,1,556.0589473684211,124.76842105263158,25,25,63
7,26,1243,2352,182,145,98,117,140.6838294448914,132.08849557522123,2.4589784848453182,0.9818923801221251,39.7823673768393,1,0.5284863945578231,0.4066729360028967,92.9295866842451,84.52810183601665,8.06225774829855,3.985213882296257,4.0,16.865987621883825,17.604541720813828,-1.3861507531831765,195.9827560572969,0.9269202087994034,1,1,140.6838294448914,132.08849557522123,26,26,69
7,27,840,2288,99,180,47,136,72.55595238095238,158.48333333333332,2.096226850632862,0.9723610819176413,32.703535245865034,1,0.36713286713286714,0.4770476056530307,68.4003679188638,64.53681120105021,7.810249675906654,3.6320595294409324,3.605551275463989,15.201563510260998,15.970266720720796,-0.8964587385784842,148.75230867899737,0.9333333333333333,1,1,72.55595238095238,158.48333333333332,27,27,74
7,28,471,899,46,203,15,174,29.02547770700637,185.67303609341826,1.6027290842317137,0.8998418222834947,24.488687706168772,1,0.5239154616240267,0.6239357667109169,37.87023015690025,38.28837943815329,8.06225774829855,3.45044445008896,3.0,15.708293829996464,16.519613176052633,-0.949575877001685,97.39696961966999,0.9289940828402367,1,1,29.02547770700637,185.67303609341826,28,28,87
